"","superhost","pax","bedrooms","price","review_rating","latitude","longitude","entire_home","hotel_room","shared_room","mininmum_nights","maximum_nights","availability_365","number_of_reviews","fullyBooked","instant_bookable"
"125","TRUE",4,2,5786,4.91,-33.94707,18.37825,1,0,0,1,1125,1,75,FALSE,"FALSE"
"126","TRUE",2,1,963,4.93,-33.91125,18.40129,1,0,0,3,1125,248,75,FALSE,"TRUE"
"127","TRUE",7,4,1371,4.82,-33.9146,18.41388,1,0,0,4,1125,265,23,FALSE,"TRUE"
"128","TRUE",2,1,785,4.79,-33.91112,18.40273,1,0,0,3,1125,271,34,FALSE,"TRUE"
"129","FALSE",6,3,2500,5,-34.04129,18.36164,1,0,0,2,30,290,13,FALSE,"FALSE"
"130","TRUE",4,2,1000,5,-34.12919,18.448,1,0,0,3,1124,272,17,FALSE,"TRUE"
"131","TRUE",2,1,751,4.85,-33.93058,18.40854,1,0,0,2,60,277,230,FALSE,"FALSE"
"132","TRUE",2,1,450,4.81,-33.93595,18.44451,0,0,0,2,1125,365,77,FALSE,"TRUE"
"133","FALSE",2,1,1609,4.25,-33.93135,18.40631,0,0,0,1,1125,324,8,FALSE,"TRUE"
"134","FALSE",2,1,1609,4.83,-33.93247,18.40552,0,0,0,1,1125,324,6,FALSE,"TRUE"
"135","FALSE",2,1,1480,4.21,-33.93103,18.40462,0,0,0,1,1125,324,20,FALSE,"TRUE"
"136","FALSE",2,1,1452,5,-33.93191,18.40499,0,0,0,1,1125,324,1,FALSE,"TRUE"
"137","TRUE",2,1,528,4.58,-33.93008,18.40549,0,0,0,2,1125,364,74,FALSE,"FALSE"
"138","FALSE",2,3,364,4.5,-33.98424,18.50183,0,0,0,1,300,365,3,FALSE,"FALSE"
"139","FALSE",1,1,395,3,-33.98265,18.50383,0,0,0,5,300,365,3,FALSE,"FALSE"
"140","FALSE",2,1,600,5,-34.01896,18.48062,0,0,0,2,1125,365,8,FALSE,"FALSE"
"141","FALSE",4,1,3370,4.86,-33.93507,18.37913,1,0,0,2,180,364,179,FALSE,"FALSE"
